,博主昵称,微博内容,发布时间
4888,沙拉不是青菜2,外交部再批日本福岛核污水排海赵立坚说福岛核污染水排海后患无穷反对日本政府正式决定福岛核废水排海,05月17日 22:47
7948,不要吃苹果啦,任豪没有人比R1SE更爱R1SE笑死了这个团要是真的爱这个整体会出那么多破事吗人均塌房尤其是任豪啥时候去日本喝核废水啊,05月02日 22:36
4413,二·三,教资面试抽到讲全球化我一看这不啥都能扯诸君讲到结合时事日本倾倒核废水我好兴奋于是我讲得太激情了超时了,05月15日 16:26
3311,hyqlllmk,谏山创是不是核废水喝多了,05月12日 10:18
1906,我要懵,汉扬a儰城乌合麒麟任何世界性质的环保机构只要是对日本核废水不闻不问却跑来指责中国环保问题的都是打压中国的政治工具当放屁就行,05月09日 14:10
6621,天蓝水清食安,赵盛烨回归巴黎协定我们欢迎但美国必须做出更多改变必须在碳排放的问题上承担更多责任例如将美军的指标纳入减排范围因为单单美军的排放量就大于世界上其他国家排放量的总和另外一个问题就是美国对日本核废水排入太平洋及其可能带来的生态灾难有什么看法,04月11日 18:58
833,冷圈选手吐槽,17417Bot好最近入了一个新坑虽然我推一个比一个烫但我嗑的cp真的比我想象中冷很多虽然有饭但是周围的人全是对家再加上我是过激洁癖看到对家名字就会死每天上网冲浪常在各种地方看到我两对拆家美帝的名字我难受的就像喝了核废水一样在考虑要不要趁着还没花多大精力去搞这对cp赶紧退坑跑路但是他们实在是太香了虽然感觉解码出来会被嘲这也算冷圈吗但是各位体会过那种周围无论线上线下的亲友都是对家的感觉吗有粮嗑是很好但是我比起吃别人的饭更喜欢和别人口嗨我cp黄梗但是我找不到啊我找不到人和我口嗨啊洁癖人痛苦扭曲再顺便吐槽一下同样都是男同凭什么凭什么亲兄弟就要被当做是真正的兄弟情来看啊我去我家cp左位日常就是对右位痴汉告白右位偶尔也会回应告白痴汉哥哥X叛逆期弟弟我直接嗑拉了我受够这个到处都是年下伪骨科的世界了年上骨科就是最吊的收起全文d,05月06日 11:10
4061,昨页封棠,明显是已经喝过量了小脆爱吃脆皮鸭让它去日本喝核废水吧,05月14日 12:28
260,橙新聞,关注日本排核废水入海陈肇始或收紧福岛及邻近地区食品进口管制日本计划将福岛核电厂储存的大量废水分阶段排放入海遭到邻近国家和地区反对香港食物及卫生局局长陈肇始表示视乎日本排放核废水计划发展以及日本提供的相关数据政府不排除增加对日本进口食品检测以及收紧对福岛和邻近地区食品的入口管制香港爆料O网页链接收起全文d,05月05日 13:41
6802,弋澜_,日本核废水入海对中国有何影响,04月14日 23:59
6907,你这种状况持续多久了,日本政府正式决定福岛核废水排海迷惑行为大赏鱼说完就飞走了三文鱼可能真的上过大学老板拍了拍自己的头说真奇怪我拍了拍老板第二个头说是很奇怪L你这种状况持续多久了的微博视频,04月21日 23:58
935,帅帅shania,海鲜大餐压轴这次寻摸到了好几个不错的海鲜店Mark一下将来日本核废水一排放也不知道还能不能吃到海鲜必须珍惜眼下能吃到的每一顿,05月06日 00:40
1552,空空空空rrr,流云拂雪问问它日本核废水事儿,05月08日 15:30
4102,-范远飞-,盲猜日本储存核废水的罐体坏了,05月14日 11:01
2782,Pesophonia,核废水才是头等大事,05月11日 21:45
4403,千曲子语-yoyo,日本我在倒核废水之前也给大家伙儿鞠了个90度的躬了呀,05月15日 17:25
1506,桃花青年,日本的蓝旗金枪鱼感觉像喝核废水长大的L桃花青年的微博视频,05月08日 18:21
4402,还可以更努力的,切尔诺贝利核电站内或发生核裂变总比某些无耻的国家直接把核废水往海里倒好,05月15日 17:29
2712,心空200003,谏山创死了你他妈是我见过最贱的作者核废水喝多了求求你他妈封笔吧别画了再说一次谏山创死了艾和笠怎么偏偏是你这贱畜笔下的角色呢今天教主公布了和张老师离婚的消息我磕了那么多年的cp啊好尼玛难受果然人不能谈永远,05月11日 23:40
3895,爬墙的西瓜,海水但是没忘记加核废水肯定早就偷着在排了还是一碗泡面就,05月14日 21:59
7507,幻肢翘出天际,草马桶商人炎客浇了点东国那边的核废水这花长得还挺快,05月01日 09:27
4300,忘记了密码有点烦,还动不动就要喂同胞核废水Rikimaruholic请林墨粉丝向力丸粉丝道歉林墨粉丝诬陷力丸粉丝并叫黑称在前同时恶意篡改国歌辱骂力丸及其粉丝事后非但不道歉还恶意卡黑林墨超话还在逼粉丝氪金全然不顾国家正在开展的清朗行动,05月15日 23:52
1384,数见红尘应不识,老阄妈跟日本任一起喝核废水洗洗脑子,05月08日 23:30
2573,h_不能再咸鱼下去了努力斩托,永芬思思贝戈为了反击前几天中国监督排核废水问题日本这几天太费心了一会说中国制造病毒害世界一会说中国污染大气层危害地球不就是为了掩盖自己的丑陋就造谣别人的小人心态吗,05月10日 10:22
5258,庭中有奇树炎炎沐日华,当日本说准备向海里排核废水时它已经偷偷排了不少并决定今后要加大力度,05月17日 07:04
8342,普通劳动妇女,RISE演唱会还能办办完的钱拿去给赖C还债还是给任桑买机票去喝核废水,05月02日 20:25
6523,尙方,福岛核电站4000个废弃物集装箱信息不明这是远超过切尔诺贝利的灾难堆芯根本没控制住注水的方式只能给堆芯降温却无法减缓裂变强度每天注入那么多砘的水就是无底洞用过的核废水然排到海洋里让全地球为它稀释更严重的问题是最外层的安全壳能不能撑住撑不住就是放射性溶洞那个三号反应堆一个月前还因为地震发生了位移日本官员还说有爆炸危险恐怕熔穿安全壳迟早的这是远超过切尔诺贝利的灾难收起全文d,04月11日 19:58
777,淮北开发区分局在线,珍爱生命远离毒品身体就像海洋吸毒就是往海里倒核废水,05月06日 13:31
5168,咕噜咕噜嘟嘟呜,天杀的现在陷入复购za不畏艳阳和止步核废水新闻纠结中,05月17日 12:03
7174,荒原上的希刺克利夫,灵笼讲的是核废水病毒变异的时代吗,05月01日 19:19
7837,葳蕤微凉,任豪没有人比R1SE更爱R1SE这玩意还有粉丝还一起成长一起长大真男人至死是少年尬不尬啊喝核废水长大吗,05月02日 23:01
3952,1流风1,可以掺点日本的核废水红魔Oldtrafford2013让她喝点恒河水就写作出啦,05月14日 19:09
1440,夢境軒廊,别气啦现在还在滴滴滴的除了老舅妈也没谁眼红我担物料喷发新剧要上一片大好而自己亲儿子只能努力顺着自己建的罩子爬去日本喝核废水不发疯就怪咯笑死啦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,05月08日 20:49
3145,夜雨花雨夜,品客现在是把核冷却废水理解成了核感染水源,05月12日 18:56
617,姗的球,我希望你真的知道你在说什么更希望你过了两年再回来看自己说的话能觉得羞愧sakiyuiiii哟评论区喜欢日本鬼子造的纸片人的还不帮你的纸片老公把核废水舔光舔不干净让日本爸爸不高兴了说你推是个参拜jingguo神社支持大家多喝核废水长成蛆脑的二鬼子怎么办,05月06日 18:37
5283,粲然数星辰,福岛核电站储水罐已多次泄漏我都怀疑天气恶劣是他们偷排废水导致的蝴蝶效应了,05月17日 03:50
7824,野玫瑰收藏家,任豪没有人比r1se更爱r1se没有人比你更懂核废水,05月02日 23:03
4947,不要生菜和洋葱,INTO1谈团魂是什么笑得想死又开始灌核废水了呢有些人那么热衷于让别人喝核废水不去选举rb首相都亏了呢,05月17日 20:38
17,不在bilibili的陈睿,我免费围观了二总的回答问题价值25000元快来一起围观O微博问答,05月05日 23:22
1376,明明红红和莉莉,青春有你3孙亦航滚粗来给爷亲一口哟不让怎么还害羞不就是小舅舅吗有什么可害羞的小舅舅不可耻长大了我们还可以去竞选霓虹首理v霓虹总理霓虹首长他们老大叫什么啊我忘了然后我们坚决打击取缔那个什么神社然后不让他们倒核废水姜滨听了大为感动当即决定让你担任爱奇艺总裁小舅妈鸡犬升天congratulations收起全文d,05月08日 23:38
1451,喝阔落么,这边建议煮米的时候加核废水口感更好呢,05月08日 20:33
7071,腥闻人,日本日本政府正式决定福岛核废水排海2011日本福岛核电站事故被定为最高级7级和切尔诺贝利事件同级很多人光知道是地震惹的天灾却不知道背后的人祸,05月01日 23:27
44,要的对等人生,总结到位不正常人类研究中心日本假疫苗森永毒奶粉蓝印毒奶粉三笠毒大米地沟油水俣病核泄漏RAA三菱造假东芝造假神钢造假东丽造假高田造假西铁城造假旭化成造假椿中岛造假神户牛肉造假日产造假小林化工造假福岛核废水我大日本食品安全什么时候这么有牌面,05月05日 22:15
4279,余麦十二,哇唧唧哇出来看一下吧核废水喝多了字还是认得吧,05月14日 00:18
4911,中华民族百姓温献,核废水直排入海无异于日本对全世界人民使用化学物品天理不容,05月17日 21:46
2564,墨璇·幽凝,醉酒醉到嚎啕大哭还不忘锤核废水说08年就开始等池子08年游戏都没有但是up来自四川突然就理解醉糊涂了说把角色派过去处理核废水但是还记得角色的人设心疼地说小羊会脏的啊最后抽到角色了准备买皮肤的时候突然色心大起买了另外一个角色的皮肤说着要抽蒂蒂感情丰富铺垫那么久结果视频停在了我永远喜欢森蚺妙极了收起全文d,05月10日 10:43
7629,姜糖姜姜糖糖姜儿,任豪没有人比R1SE更爱R1SE别蹭了看来喝核废水真的会把脑子搞坏,05月02日 23:56
6910,圈内说星,石原里美新剧这是在紧跟时事说日本往大海里排核废水的事吗大海在说反对不可饶恕这是暴行真的我也是一想到大海那么美丽却要被某些不配称之为人的人当成下水道就窒息可问题是日本人到底嘛意思呢你们自己心里也清楚人类不应该对海洋动手却还是动手了狠狠批判就是不改他什么都懂却还是不干人事收起全文d,04月21日 23:56
5279,FrozenBach,我永远喜欢森蚺喵哦哦哦哦哦天呐这晒痕这隐约的腹部和手臂肌肉这又粗又长的蛇尾这有些懵懂又涩涩的小表情这一定是和刀客塔坐飞机去东京完成了两面包夹芝士的重大使命解决了核废水之后之后在海滩上肆意玩耍回来的森rua吧,05月17日 04:28
6649,学术垃圾制造者001,回复柚子我不爱喝奶茶你神经病吧不会自己查啊我也不是义务为你服务的都告诉你地方了你自己不查就想等现成柚子我不爱喝奶茶回复学术垃圾制造者001我看你日本排核废水到底有影响没,04月11日 18:44
8085,7勺奶酪,任豪没有人比R1SE更爱R1SE没有人比任桑更懂得怎么处理核废水,05月02日 22:12
7015,一个暴躁美女罢了,今天funji榜单刘彰怎么又大水冲了龙王庙了灌的是日本的核废水吗,04月27日 23:55
4553,唯一的笨丫头,不要放弃生生不息的希望就算你再怎么绝望日本都不会放弃排放核废水的决定绝望有什么用如果绝望有用如果可以让这一切改变那我就绝望一辈子,05月15日 07:27
9414,溪山去行旅,分享网易新闻为何日本核废水令人谈虎色变苏联用核弹炸出的水库却可以游泳O为何日本核废水令人谈虎色变苏联用核弹炸出的水库却可以游泳来自网易新闻客户端网易新闻,05月04日 20:24
2122,豆奶榛果拿铁,带了68颗炸了67颗还有一颗只触发了第一次爆炸中子没有裂变然后美国骗了四千多个退伍老兵上去连防护服都没给去捡核废料所以60多年前美国在环礁上炸了67次原子弹整个太平洋早就被污染到什么程度了他儿子倒点核废水你以为他会说什么吗,05月09日 23:40
4657,湘微笑8,成利财让说个笑话美国的自来水和日本的核废水一样都是可以直接喝的,05月16日 21:55
8603,一支西地兰的凝望,装逼犯西方媒体污蔑新疆种族灭绝时你不说话对待昆明恐袭双标时你不说话说中国病毒时你不说话美国发生大量亚裔被袭事件时你不说话日本倾倒核废水时你依然不说话反而一张嘲讽印度政府抗疫拙劣表现的图把你刺激到了你的G点很奇特呀,05月03日 23:06
7404,若鱼入渊,日本政府正式决定福岛核废水排海日本要把福岛食材推上奥运会餐桌日本复兴相为氚吉祥物低头致歉从福岛核污水事件看日本政府行为的逻辑O日本又一次失去了站起来的机会,05月01日 11:12
5765,碧忠义灬刻薄,所以是打算喝核废水抗新冠吗想干嘛呢脑子真的进核废水了吧,05月20日 16:08
4076,夏朝之音,王局是它自封的网友不认称其为王丧比较贴切帝吧管理员日本还没爆发的时候说日本很好现在日本爆发了买机票回中国王桑应该买票去福岛大喝几口核废水就解决问题了,05月14日 11:51
5636,悟理学院,科普微博公开课悟理每日一答Q为什么日本不把核废水通过电解变成氢气和氧气A日本政府选择恶劣地把核废水直接排入太平洋就是为了省钱而抛弃了生态诚然短期来看这是最省钱的方式至少比电解要省钱的多那么电解核废水可行吗现时不可行这主要有两个原因首先电解水是一个能耗非常大的过程电解水生成氢气和氧气的过程效率在6080之间燃料电池来直接将氢气和氧气化合成水的效率一般在5070之间可见这一过程能量损失很严重整个过程的技术成本也很昂贵其次福岛核废水的主要污染物是放射性元素氚电解过程发生的化学反应并不会消除其放射性得到的氢气也是有放射性的氚气自然也无法利用现在来说最好的处理方式依然是将核废水封装后深埋这其中的花费当然也是很贵的但至少不会害人害己直接排入海洋是极其不负责任且不理智的悟理学院收起全文d,05月19日 10:01
6081,雄关漫道真如铁NB,斯图卡98要看日本外务省有没有计划给知日派充值了1zuohong67让这些孙子每人每天必须干几大碗福岛核废水斯图卡98回复冉闵号巡洋舰网上有冉闵号巡洋舰有没有高清相片贴出来看看都是些什么东西去了,04月11日 23:30
9389,kataro笑颜Atemi,恶心这种假装多爱国一样用传统文化和所谓的民族自信去无缘无故抹黑无辜的人自己也被骂一句二鬼子喝核废水我是不是可以放个二维码要我退国籍的打个250块给我,05月04日 21:08
3527,不能更正直,喷了以前说日本核废水随洋流首先就飘到加州看美国人什么反应想不到美国人先下手为强难怪也没什么反应讲究司书JOJOAlter洛杉矶海底有50万桶DDT难怪美国不敢谴责日本倒核废水,05月13日 22:41
1318,坂田暮瑾,有生之年我还能见到gene吗Lillion就GG加上核废水感觉好几年都不能去日本了詩織想騎馬闪耀的群青我靠彩津寺玲奈sakurafuki_大地的小判绵羊_我推我自己下周要去三天学校我是不是可以收拾收拾准备退学了starace,05月07日 08:56
4846,烦死了07466,请近田力丸粉丝道歉请力丸粉丝停止网暴素人力丸粉丝好恶毒啊为了日本人辱骂中国弟弟网爆中国网友你们这深沉的爱令我为之震撼我想核废水一定有你们一口吧,05月16日 00:54
9705,茂哥日记,王局志安竟支持日本把核废水排入大海大学生到底该不该做兼职被毕业论文折磨得社死瞬间,04月10日 22:59
2264,恰恰aaaa,我国平均分娩镇痛普及率仅约30好家伙看了我更不想生了原来打了也还是会肚子痛emmm我在家吃吃喝喝挺好的干嘛想不开去生孩子就让人类灭绝吧毁灭吧咱们跟核废水同归于尽,05月09日 18:48
8854,·奶油甜啵,东京饮用水致癌物严重超标难怪喝核废水觉得没事,05月03日 21:07
7723,fearlesslsy_05,任豪没有人比R1SE更爱R1SE任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水任豪没有人比任豪更爱核废水收起全文d,05月02日 23:31
10009,睿思天下,日本太不负责任了日本决定核污水排入大海中方回应根据日本NHK8日报道针对将福岛核电站储存的污水排放入海一事日本政府正在进行调整最快或于下周做出决定报道称关于核污水的解决办法日本政府目前拟定的计划是将其稀释后排入太平洋日本这样的做法简直太不负责任了这样把核废水稀释以后排入大海将可能对海洋环境和渔业资源造成不小的影响也可能会对人类产生不小的影响1对海洋环境造成影响核废水具有放射性虽然日本也经过了稀释处理浓度已经很低了但是还是具有一定的危害对海洋环境可能造成长期影响而这些可能也需要很长时间这些影响才能被海洋逐渐消化掉2对海洋生物造成影响核废水具有放射性也可能会对海洋生物造成一些影响海洋生物有可能会产生变异而这些影响一时半会可能也很难估计影响会有多大3可能对人类产生影响核废水稀释以后排入大海也可能将对人类产生一些影响如果海洋生物受到了一些影响那么这些海洋生物被人类食用之后也可能有一些影响综上所述日本准备把核废水稀释以后排入大海是极其不负责任的行为将可能对海洋生物可能对人类产生一些影响日本政府基本决定将福岛核污水排入大海收起全文d,04月10日 17:52
3334,唔今年改什么名字呢,巨人最终卷加页虽然昨天骂过了一早上看到这个热搜还是想再来骂两句去你的谏山创没喝10斤核废水都写不出这种东西,05月12日 10:00
448,午夜暴躁狗狗在线鲨人,牛蛙牛蛙这时候又想起我家朵子了Ultraviolence96服了带世界冠军多子爹出场记得给出场费圣浮里亚魔法师明天又继续刷滚回去喝核废水小狗心碎实录有时瑰子黄族无事世界冠军鼠标都没你们会双标哇,05月05日 01:39
2022,月亮下班了哦,真好你带着新冠病毒来我这里喝核废水我们都有光明的未来behappyhua苍蘖_CANG神tm双向奔赴无证无罪格兰芬多公共休息室双向奔赴的典范DP一V一双向奔赴老梅梅梅好家伙莫克尔_这种双向奔赴真的大可不必,05月09日 12:22
6693,青你3一57,日本核污水57天将污染半个太平洋西方国家全体阵亡排完了废水全世界都要为之买单这就是所谓的素质国家,04月11日 18:11
8833,myziooo,东京饮用水致癌物严重超标好可怕日本人不是说核废水都能喝吗怎么现在就不行了,05月03日 21:20
5409,霜序初七0,庆怜粉丝请不要倒打一耙月球表面的霉菌之子核废水粉不要犯贱哦小九高卿尘是妈妈的心尖宝贝ql家粉丝在超话里插旗先撩者犯贱评论配图,05月18日 17:55
701,辛苦了表情,目标从根源上解决核废水排放问题再重名我打你哦一库走海洋十字军,05月06日 15:38
708,能不能快一点_,上面灌核废水下面泄洪豪不快活,05月06日 15:25
4439,支持琉球独立,回复刘二钢啥x喝你TMD的核废水少恶心人刘二钢回复支持琉球独立啥你看看有多少穷人还有脸宣布全部脱贫了还有脸说怎么对待弱势群体,05月15日 14:51
993,宇宙的起点是逻辑,自己的骨血有出息会整半导体炎黄子孙的天资禀赋确实上佳历史教科书问题我们得重视涉及到正统和历史认识评价问题中日韩可以就历史教科书问题还有核废水海洋环境问题举行一揽子协商达成共识和基本原则台湾作为子女可以旁听对冲了美国航母干扰还要考虑一下第一岛链上的其他国家,05月07日 21:54
8224,一串鱼丸逗逗你,任豪没有人比R1SE更爱R1SE没有人比你更爱核废水任桑2南宁,05月02日 21:55
3446,三哥在印度微信kk600167,普那替尼楼歌道男人能吃么女用伟哥靠谱吗影响女性性能力的因素有血液循环性激素如雌激素孕酮和睾酮多巴胺个人的情绪情感与亲密性伙伴关系情况性知识掌握度以及年龄等仅靠营养品是无法改善的要结合生活方式饮食锻炼积极沟通并处理好与性伙伴的关系印度特瑞白姜表情未变示意留鹤也去一旁等待日本核废水入海对中国有何影响收起全文d,05月12日 02:51
8841,晓山皖月hh,东京饮用水致癌物严重超标给日本说话的大圣母们请先帮忙把处理后的核废水喝了这句话我已经说腻了一个一点责任意识都没有的国家迟早完蛋不说还拉着人类受罪,05月03日 21:15
1219,平安鸡西,怪不得对日本核废水表示感谢真以毒攻毒,05月07日 14:17
10286,菇鲜王,倭国大摇大摆就要把核废水往海里倒新闻连个水花儿都没崩起来切尔诺贝利呢人命一茬一茬填上去的硬是把核废料封在了水泥棺里绝对没有主观恶意地祸害世界完了美国还要拍个剧恶心那个死了的国家说它充满谎言彷佛每一个去处理核废料牺牲的人都死于暴政和虚无二氧化碳气候变化活动者安静如狗反人类匪帮极其走狗入不入关无所谓一定要毁灭是真的收起全文d,04月10日 14:24
4997,蔚蓝星球有迹可寻_k,日本冲绳误将生理盐水当疫苗注射怎么不是注射核废水,05月17日 19:15
9947,半夏竹雨,打狗棒法十八式日本排核废水美帝屁都不放一个评论配图,04月10日 18:54
2221,苍穹皓尘,议员前有日本议员核废水无害论今有印度议员饮牛尿防新冠愿天下母亲健康平安你我皆在尘世心存善念必有大福滴滴应该是禁烟的法外之地吗滴滴司机车内抽烟不让开窗北京明令控烟禁烟滴滴你是控烟禁烟的法外之地吗最新爆料欢迎转发评论报道O网页链接,05月09日 20:01
6188,实验菌一亩,之前倒过了没几年大家转头就忘了那年的兮子捕猹少年小闰土鞠躬就完事了东邪影视铜墙铁壁石头更缺德的是日本政府掏了二十亿日元来做宣传美化此次排放核废水行为大家可以看一下微博里有哪些大试图淡化这次事件那他绝对是恰烂钱了,04月11日 22:40
4250,中二喵咪酱,哇唧唧哇哇唧唧哇INTO1官博阴间东西又出来恶心人是吧官博公然唯十咋了核废水把你公司屁股冲烂了歪到太平洋了吧真觉得我们粉丝会一直乖乖配合你们演断层C位的热搜一压再压远超的阅读讨论量上不去rs也是搞笑舞了五个小时你告诉我为什么上不去恶意防爆你呢你四处漏风的破公司买热搜都要倾家荡产了吧怎么带队友的就能上了做好c位商务宣发工作可能真的会让你们死吧六点的活动你第二天040发宣传大半夜的你们去阴间宣传了啊死人都比你wjjw强啊操千辛万苦打投送上来的人私生怼脸跟拍有代言不帮忙发转眼给下面几位这么折麽我们粉丝是个人都要逆反了老娘的钱凭什么给你奶团滚吧你哇唧唧哇INTO1官博收起全文d,05月14日 00:58
3903,蓝鲸财经记者工作平台,鲸视频韩国渔民要求日本每天赔偿一千万韩元韩国两家渔业协会提起对日本政府和东京电力公司的诉讼并将要求日本方面提供每天1000万韩元约合人民币57万元的赔偿一个月前日本政府正式决定福岛核废水排海并在昨日决定将从2023年开始执行引起日本国内外民众的强烈不满LCGTN记者团的微博视频收起全文d,05月14日 21:36
7619,淘宝5三哥在印度,奥拉帕利片终于回到在修仙界心心念念了八十年的家哪怕面前处境再糟糕也坏不了她这好心情卡博替尼xl184达可替尼片多泽润DacomitinibTablets布加替尼Briganix乐卫玛甲磺酸仑伐替尼胶囊Lenvatinib卡博替尼xl184多吉美甲苯磺酸索拉非尼片阿昔替尼片阿西替尼片axitinib英立达盐酸帕唑帕尼维权特盐酸培唑帕尼依维莫司片飞尼妥甲磺酸伊马替尼片索坦苹果酸舒尼替尼胶囊瑞格菲尼拜万戈瑞戈非尼片达拉非尼TAFINLAR曲美替尼MEKINIST印度特瑞然而陶桃却不这么认为叹了一口气觉得夏柠是在逞强日本核废水入海对中国有何影响收起全文d,05月01日 00:09
9698,本宫就是肉嘟嘟,可能cC流霜_日本这次要向海里排放120多万吨含高浓度辐射物的核废水如果福岛核泄漏的问题一直不解决每8年日本就要排放100多万吨核废水入海德国一家顶级海洋科学机构做过模拟演算只需三年美国和加拿大被污染十年整个太平洋都被污染锤你个锤子快点禁止进口日本海鲜,04月10日 23:03
2747,Anka就是安夏阿,我还想再来一次日本但是核废水真的是给全世界添麻烦了,05月11日 22:47
6455,忽然间的自我201711,日本人最终是不会把核废水直接排到海洋里的最起码不会就近排公开排方的否则本国人就把他给办了这不过是他日本要挟国际社会筹码罢了,04月11日 20:43
5430,chsh_chsh,请把这种分类到极致的精神用到处理核废水上不要一倒了之,05月18日 15:49
6531,小圜圈圈,日本作为一个发达国家怎么能做这种事国际社会不能处罚它吗帝吧官微估计日本几年前就开始偷偷往太平洋里排核废水了,04月11日 19:51
7213,二死啦,那些在中国留学生出事的新闻下冷嘲热讽的人就应该送去日本喝核废水以毒攻毒看看能不能把脑子治好,05月01日 17:32
7793,cHAMpion_胡柱浩,任豪没有人比r1se更爱r1se你是核废水喝多了核tui,05月02日 23:12
3424,myouyouu,谏山创喝核废水扶他柠檬茶他好像有那大病得去看了真的伊谢尔伦的风是不是看到火影死神都整了子世代的事情觉得自己必须跟上潮流苏离弦我头一次见这种跟自己读者有仿佛杀全家之仇的作者,05月12日 08:01
677,热咖啡泡茶,保护我方nineone还请大家注意一点新疆棉花他们没出现日本核废水他们没出现一涉及男女问题他们就出现了你品你细品别被反动派带节奏,05月06日 16:27
1188,miyoumissyou,多泽润DacomitinibTablets分开时柳余还有些恍惚她喘了一会才有时间来端详他手中那个小小的手掌大小的大理石雕像肝癌非小细胞肺癌膀胱癌前列腺癌肾癌脑胶质瘤食管癌胃癌艾曲波帕乙醇胺片瑞弗兰Eltrombopag艾曲波帕吉三代索磷布韦维帕他韦片丙通沙塞尔帕替尼Selpercatinib盐酸曲恩汀曲格列汀阿普斯特片apremilast巴瑞克替尼Baricinix米托坦普那替尼普纳替尼ponaxen托法替尼托法替布尼拉帕尼斯沃利奈唑胺片LinezolidTablets非布司他片非布索坦片拜利妥利伐沙班印度特瑞她将手按到男人宽厚的手背日本核废水入海对中国有何影响收起全文d,05月07日 15:40
5701,思远军事,日本拟修建千米长海底管道将核污水排海真不怕惹恼邻国日本排放核废水的事情果然不简单近期日本核废水排放最新方案曝光原本就对日本感到严重不满的韩国更是立刻翻脸对日本的计划表示了强烈反对毕竟日本的排放方案将会对全世界造成极大影响思远军事军事分享官微博公开课L思远军事的微博视频收起全文d,05月20日 21:50
5707,稣心饼,原神原神崩坏三联动X核废水入太平洋,05月20日 21:08
59,投资者张,美国海洋生物学家美国必须制止日本排放核废水计划_京报网O美国海洋生物学家美国必须制止日本排放核废水计划,05月05日 21:40
7533,彤垚宝贝,树脂模型制作核废水厂底下发现一头变异的鲨鱼手工快手快手httptcnA6cmRUgT,05月01日 08:28
1326,二月花bj,太平洋岛国马绍尔群岛的核辐射水平高于发生核泄漏事故的日本福岛和乌克兰切尔诺贝利二战后美国在马绍尔群岛进行了至少65次核试验科学家采集土壤样本对核辐射物质进行测定发现有些岛屿核辐射强度是福岛的10到1000倍是切尔诺贝利禁区的10倍如何看待日本福岛核废水排海,05月07日 07:57
347,还不减肥吗小张,涉h涉d的和喝核废水的还能涨粉丝还有粉丝喜欢,05月05日 10:28
1558,英红九号小达人,让他们去日本喝核废水,05月08日 15:25
